cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","3/31/2019","5/19/2019","SM","304 High Street","DELMARVA BANCSHARES, INC.","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.1880bank.com","47","387683","68740","65937","40473","653","247758","1894","0","5226","496","2142","22195","387683","334729","329160","243408","329160","69.4686515662826","0","0","0","0","5569","52954","52954","0","13242","33764","5948","0","4412","0","749","354821","106160","382539","382539","245910","379461","14268","4297","0","9971","18729","8820","0","0","34857","48454","1930","34857","0"
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","3/31/2019","5/19/2019","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","16","106364","6335","5621","2680","0","91373","849","0","1981","3073","0","922","106364","95341","87159","68804","87159","83.1141719329695","0","0","8000","0","182","11023","11023","0","534","16797","-6308","0","25","0","248","99674","5772","109233","109233","92426","109215","0","0","0","0","10290","1717","8000","0","11497","11034","849","11497","0"
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","3/31/2019","5/19/2019","SM","201 North Wilbur Ave","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/23/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","9","47647","26039","24986","0","0","20092","1037","0","898","0","0","618","47647","40575","40457","29802","40457","92.345880260818","0","0","0","0","118","7072","7072","0","657","4443","1972","0","0","0","368","45078","34","49219","49219","21110","48400","0","0","0","0","303","0","0","0","3594","7072","273","3594","0"
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","3/31/2019","5/19/2019","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www/1stbankandtrust.com","46","159105","10293","1040","40976","11922","89515","1154","0","4985","0","0","1414","159105","141973","141583","94452","141583","79.5978877813232","0","0","0","0","390","17132","17132","0","500","752","15880","0","28","0","950","143453","36475","155572.5","155572.5","82985","156287","0","0","0","0","4104","456","0","0","1835","17219","1038","1835","0"
"4122","0","350657","0","1st Bank in Hominy","Hominy","OK","74035","3/31/2019","5/19/2019","SM","117 North Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","12/22/2016","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","13","40351","11589","11103","8943","41","18689","199","0","463","27","0","599","40351","36847","36710","29202","36710","89.2136849840777","0","0","0","0","137","3504","3504","0","300","300","2904","0","181","0","302","38776","5783","40153","40153","17264","40592","0","0","0","0","2166","71","0","0","1267","3542","199","1267","0"
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","3/31/2019","5/19/2019","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","41","244466","30019","26402","23601","500","174608","1230","0","5017","242","0","10479","244466","218259","203579","165498","203579","72.6456474009165","0","0","8000","0","6680","26207","26207","0","100","0","26107","0","2884","0","790","225111","129615","242747.5","242747.5","144747","240139","6180","4792","0","1388","23823","8289","8000","0","24493","26244","1230","24493","0"
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","3/31/2019","5/19/2019","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","68","343434","54264","41711","16123","3955","249706","2385","0","5983","0","2975","10428","343434","308949","306521","174465","306521","75.3480026750616","0","0","0","0","2428","34485","34485","0","5165","13820","15500","0","525","0","1015","311495","149578","332562.5","332562.5","278241","331823","7474","4417","0","3057","11085","8742","0","0","58382","32216","2417","58382","0"
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","3/31/2019","5/19/2019","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","14","55934","17901","16948","12994","0","24085","249","0","628","0","0","326","55934","50617","45078","35592","45078","82.2154201046935","5331","0","0","0","208","5317","5317","0","500","1337","3480","0","201","0","201","54027","7157","56421","56421","21189","55337","0","0","0","0","6775","59","0","0","3322","5317","249","3322","0"
"58485","0","3594797","0","1st Capital Bank","Salinas","CA","93901","3/31/2019","5/19/2019","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","81","634428","67548","56436","69320","0","476705","6560","0","4278","0","69","16508","634428","572719","567900","299705","567900","49.9438360505652","0","0","2386","0","2433","61709","61709","0","54311","2716","4682","0","0","0","1797","602461","182028","628357.5","628357.5","448858","628978","7916","0","0","7916","9368","11451","0","0","82407","61585","5624","82407","0"
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","3/31/2019","5/19/2019","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","69","545384","9559","8743","112918","12","408436","5890","0","739","0","0","13720","545384","501033","487922","427284","487922","49.8306661285134","11168","0","0","0","1943","44351","44351","0","1025","16200","27126","0","4021","0","2080","530109","191505","544545","544545","362675","548876","8426","7128","0","1298","71552","1469","0","2977","59099","44430","4550","59099","0"
